id,salary
2,28284.62584800665
6,38936.080781123324
7,36198.27781041624
11,25763.24207472917
16,50613.50160025606
24,27124.95077060642
26,36532.9864292048
28,46083.17142321259
30,52174.6732019995
31,54040.05090105819
34,17873.54937226565
35,36967.36833034727
41,38498.9373806255
49,83890.60868262878
53,38148.58035789647
54,24454.9373220081
70,21340.40522364537
76,26093.75914442097
79,30774.745189038083
81,50375.31587129156
83,19064.186936323727
85,39130.51852328398
87,31823.910446092552
88,41187.49513532662
89,33598.773315890794
91,32044.50688895579
96,51445.94947097048
100,64323.83667279951
102,17907.124956867203
103,24122.47697250784
106,74944.0122646058
111,54441.21419562791
112,16476.719180558714
114,19533.773421398713
115,34942.47011048808
117,21387.7433071499
119,27039.991215187194
122,55653.65469122278
123,31414.818542425695
124,21158.799888326284
128,24299.728422375774
130,26142.104091381323
139,21976.49387125609
140,23090.994841258762
141,76817.65199660095
142,25503.204067209954
143,27197.38270467678
144,24110.888725944063
155,26531.579005014086
161,30772.540998925797
164,2896.704029691986
165,71055.15813519974
170,23133.47061714128
176,82547.5932164387
177,35873.675389091106
180,48453.74685472924
183,20361.032788774217
185,78526.96360147158
186,53595.00966279539
195,54538.75020677819
201,27119.259213564208
204,30805.781396211492
211,30078.749796186945
214,19848.67407061214
221,21129.069051513565
222,52447.487564160096
226,30546.128739195185
232,56590.492769333374
237,30160.237638958635
238,21290.287506414887
239,24055.982247101456
249,25511.37679954625
250,16112.126608162105
254,27680.15712436861
256,15349.929089130874
260,13972.166673308257
261,36342.29180540482
264,47701.843976831486
270,47413.32006923225
272,16940.057032856563
282,21415.849067049916
285,35200.30311279571
286,17088.82858808022
288,20802.24881860258
289,15404.299471116294
298,65391.17274802418
302,24552.036408776883
305,20873.011148324702
307,51021.75578628564
313,41385.44723431881
314,18714.178385655017
316,41816.34081173891
317,26178.469532198214
319,61290.460785303054
321,27518.65904205473
323,41284.63555226826
326,29999.75381479722
327,45140.854910314665
328,33217.144967419335
332,27165.188502085883
333,34053.71057812451
341,56266.37536015756
351,39516.992368711064
355,16386.872479158323
356,66260.31725373116
358,18587.092396151867
361,18935.1106800529
362,44157.644485856275
365,34698.926820479144
369,24509.454227182985
371,18163.64680958381
376,25387.44283720997
378,75607.62471512647
380,79643.9221533051
384,29423.164835945714
386,26947.139579620183
387,38958.70254676868
389,21278.305271489317
391,23506.545035038518
396,30135.636591859522
401,35559.53906383922
402,97303.9305260126
413,26189.58444847
416,28170.471248447597
417,54969.127044093926
419,15073.773863667268
427,40019.143939217654
430,15088.272453880514
436,40712.18098619317
438,41720.25104686386
442,48335.64879938729
445,26437.77377778646
450,38214.43273055789
452,44083.29146348578
459,42528.576400689395
460,32256.17078942522
465,40309.1147164334
466,29075.188183070655
471,24378.158638839956
472,24484.888299475282
475,20412.881615611295
478,29579.73749360905
481,27734.79031814896
482,25987.213166127985
483,38995.92643538413
486,30558.187324285595
488,26344.49094495806
493,17482.645261072914
494,30027.43166131596
499,18794.152934869864
501,26748.967581560348
502,65130.39470568439
508,28902.063512633544
511,28882.36069284368
517,31218.552379491004
518,24010.842321917058
519,35338.22969242356
523,23991.7797729989
524,25176.570027532136
528,23079.398203370703
529,18479.051296549576
531,20191.028041172947
532,25824.45623931156
536,73722.80435349475
538,17110.461468611786
539,23876.13722572555
544,38484.53129422028
546,23397.29517048684
549,37994.40960803897
550,34533.062699072325
555,165.43601988665526
568,25020.704615340583
569,51853.155020322956
578,36057.125332407806
586,25521.682232007042
587,47713.80936424154
589,21843.882520582207
590,50065.27063864262
591,40263.13714718797
593,24051.366213315916
595,17451.61260621377
596,77340.65155754534
597,30103.34817945893
603,61960.04257859773
611,22637.658929904417
612,18049.950741339017
616,47435.385957833394
629,17688.1446049103
630,29945.456570973038
632,23636.12158259096
633,35785.89825743574
634,29281.158787399494
652,14251.597255638306
658,40562.22195255496
660,35812.64758054084
662,26767.34437741672
666,60271.46680662901
667,41544.68166014347
671,27207.431730748736
673,30476.8133852385
674,60283.39773632551
679,20890.21247193458
683,41660.90350960274
696,25760.01949424521
700,35009.25922636119
703,40845.56752352936
704,39030.2663023044
705,29794.055799884878
710,24551.37319446877
711,22912.97930671367
715,22814.766039098417
720,31198.13381486577
730,22166.54666245448
731,27599.42686441373
734,47246.5025416437
735,36827.74657723388
742,20209.978783833227
751,21555.52482050696
753,27014.548678493884
757,23099.05095468635
759,29655.23228523992
772,43647.06349017335
773,17312.733560657653
776,34151.17879528996
779,20933.29979071288
780,38311.178272363715
782,20077.46396563033
784,21616.323629291157
788,42655.92118021517
789,29194.02524455435
790,50659.84933811499
795,23935.051034245567
797,59884.9242131058
