id,salary
2,20987.292281754617
6,47094.027100262756
7,32494.12909015962
11,24797.142677530446
16,37398.982230759604
24,31729.827224619745
26,34478.01264916253
28,52463.08953363596
30,40469.45831773017
31,44867.388804490794
34,23387.709933300604
35,34409.19362272448
41,44418.57477756797
49,103143.17343976551
53,25083.872142360644
54,26140.453661436168
70,25368.971856042805
76,32660.950580803812
79,25242.815634647166
81,35652.67302314583
83,25226.065068473614
85,32018.989995728272
87,41178.13408507113
88,34581.60077086008
89,33226.994972338616
91,34123.05849825347
96,43582.26864864473
100,57192.96920598027
102,19286.54381662404
103,27614.216526596923
106,56131.572222136165
111,45095.37057212907
112,16737.22153438783
114,18578.70333709924
115,34787.90488698407
117,19951.324895607464
119,25791.518188220205
122,60586.25152988446
123,36566.94531219072
124,24154.159380128138
128,27447.593354973233
130,25958.437039777968
139,25218.187616679745
140,24062.73602295012
141,80185.26852884586
142,26982.763859498067
143,26279.937406339333
144,28329.586271156444
155,28179.568596310255
161,37136.26502069715
164,10557.06186759538
165,68431.63650312948
170,22459.349585077176
176,87993.7070068331
177,29619.286651861068
180,42157.577684358235
183,20783.363102836043
185,65645.65958299513
186,49833.92212584051
195,53803.164045619174
201,25771.507813940843
204,29740.728066692074
211,30187.69398829271
214,24021.115563313797
221,20571.333469064
222,45401.848321294696
226,27223.231130974124
232,49186.8807248726
237,39673.96617493125
238,22241.09845737957
239,19964.276566425688
249,26270.094298272907
250,15351.84911590402
254,27056.88539878359
256,14557.661377098959
260,13930.35641980669
261,38740.429527028675
264,42552.17093054968
270,40550.46288627368
272,19412.721029856588
282,21946.944329020527
285,33853.92085149772
286,20436.78523338764
288,26395.158455833604
289,18718.60742626806
298,56917.38663924773
302,21858.972852438397
305,24359.82374504591
307,46206.4672126229
313,44136.55730504566
314,18014.61824294695
316,33479.39500672349
317,27115.38131746599
319,52743.883820305455
321,26986.16052010658
323,48393.89930988577
326,35470.23990885332
327,45938.71297834212
328,28305.510423502343
332,29937.40778075298
333,36797.387671990444
341,38829.70031596054
351,35259.89766792021
355,17230.428965055715
356,54413.60888608708
358,20747.827691475966
361,21123.344061527045
362,39732.556165260794
365,31707.40552355091
369,33674.23592118975
371,19917.485300505254
376,29214.983733652916
378,69914.5370047947
380,80710.96096727934
384,29699.967135310988
386,28178.833969068673
387,38959.81008734097
389,18788.774427283966
391,23060.654530149597
396,28979.825912251425
401,37967.99334972207
402,99353.50738139737
413,30016.71957360711
416,31295.46384442264
417,56205.0306090457
419,19482.840578714156
427,41780.06758970457
430,18120.872610575025
436,35432.678647423796
438,51535.96333421926
442,45624.372910029284
445,21489.033479199705
450,41616.20795016428
452,43406.63910971511
459,37656.5010630067
460,30384.607301587293
465,38517.896051693446
466,22619.55379165463
471,26952.355175847846
472,22623.73885863417
475,17364.291672870506
478,29527.986260206166
481,32078.605469910803
482,27911.331263375196
483,32944.97426937048
486,31680.958009185375
488,30140.34520442064
493,18310.84513256204
494,34011.69190816317
499,19858.065096782557
501,23708.262430223043
502,54271.51060647409
508,31807.978013872897
