id,salary
2,25518.092798129703
6,41761.775609048804
7,35006.239061109576
11,25416.598367456372
16,49711.59308213967
24,27915.30665258274
26,35684.80187482821
28,46998.98228012899
30,50580.28685153503
31,50305.165383932435
34,18422.06740182277
35,35260.531176142664
41,40014.98967572638
49,80720.40348505297
53,36693.3649766705
54,24481.46565311802
70,23692.836159095907
76,27912.142770296796
79,31821.763889543316
81,53743.188155352625
83,20306.621541004406
85,38150.5088036798
87,32079.070102350117
88,41510.36686465284
89,31322.222844880325
91,32289.902813946614
96,49871.45243439541
100,60436.344824328444
102,16891.03439585142
103,24356.027117240938
106,71690.84580553025
111,49908.36067680767
112,16005.070416808434
114,20300.776141628423
115,35301.91600209947
117,20488.439707650217
119,27067.723858108482
122,56416.58117389562
123,30832.544604072235
124,20861.108111337464
128,25051.60881217272
130,25515.02625355504
139,22200.97278874321
140,22661.800371636233
141,77618.66136392784
142,26211.34469199825
143,26103.315030295187
144,23355.456471706635
155,26008.67943291074
161,30541.58758268582
164,4433.279302372358
165,69598.96665118185
170,24068.122152955028
176,90210.5426220114
177,34258.15692097677
180,49497.442612099425
183,21008.779910995458
185,79086.8500585164
186,51625.73172154033
195,54301.528113678876
201,26692.78406277946
204,31576.61452476568
211,30067.85614804426
214,19508.481816703326
221,20494.06027163965
222,48001.27710191592
226,29507.143623781176
232,54072.47451414986
237,31033.096764620685
238,21924.03739300878
239,22092.706827644797
249,26508.345254556905
250,16016.55184481486
254,26964.79010158573
256,16391.027498156658
260,14266.339108038825
261,38255.032611237904
264,46714.29884486666
270,44626.403180919595
272,17243.23099458405
282,21698.58425903613
285,34748.28131410496
286,15886.538999994073
288,20345.345322707126
289,17683.763905657957
298,62037.046869191254
302,23993.235252816216
305,20992.585445099943
307,49679.93499059332
313,37763.31438056109
314,18717.65522012071
316,38277.42150138775
317,25559.028511333443
319,63155.344730271456
321,28529.541577734024
323,40696.6871818788
326,29220.614755384955
327,44686.42686157424
328,31550.59812592884
332,27284.908216311214
333,33004.390465629986
341,50766.11380889051
351,39907.305937529636
355,15986.100309079864
356,62640.05649117514
358,19524.695939535948
361,19506.343752437107
362,40606.06136346272
365,34941.555868647476
369,25559.867694048782
371,18220.04060395776
376,26140.00699306063
378,73719.91333231603
380,75420.35131290178
384,29441.949234098964
386,26987.887853599506
387,38983.332752254566
389,20196.505521529918
391,23219.30674923806
396,30287.132945683556
401,35857.468151859684
402,86707.254480878
413,26699.474616944895
416,28900.750987266987
417,54180.711801967234
419,15158.671981737665
427,38616.00692507022
430,17016.729479512254
436,39116.77951934441
438,48578.682765481375
442,47272.34987223556
445,24753.371075369312
450,38492.68229919854
452,42489.16282495291
459,44092.095577109176
460,32037.77390690715
465,40995.32489815045
466,29127.791033937345
471,24170.62454397207
472,23941.458759533143
475,19996.145236713393
478,29867.130796197485
481,29065.148836914334
482,25600.333820267493
483,38145.822620011226
486,32559.841744700054
488,26228.87104020469
493,15983.591492466505
494,31144.45370955297
499,18649.918374197292
501,25183.637685869526
502,61160.05869434253
508,30595.63768426224
511,29287.300064857216
517,40760.153054645896
518,23747.743186160584
519,34626.35275007413
523,23630.794279919268
524,24829.965529603465
528,23859.546930638073
529,18991.24515275627
531,21107.7632766173
532,25919.4522934022
536,73826.13345609348
538,17479.466536200725
539,23256.092564570663
544,38034.779587162026
546,22822.875221078837
549,39734.216615756035
550,32704.404523661433
555,6010.750383450456
568,24081.298421843883
569,51139.35327635364
578,34497.82786462841
586,25477.84412063076
587,44691.72127990951
589,22700.480840439035
590,46558.21002507464
591,38111.57305625672
593,22689.452675621043
595,18693.58904918842
596,71021.20223075252
597,29274.47007836988
603,65938.67327487607
611,23616.51937129691
612,19473.198512515573
616,46702.82693315842
629,18689.752393296996
630,30824.464179742197
632,23879.23820620043
633,34878.68925778407
634,28678.659477707344
652,13392.00413188505
658,42343.63397720761
660,36574.071911646024
662,26407.004148256314
666,68351.71890767742
667,40061.15138883208
671,27789.04898451832
673,30410.565395280148
674,57371.78558665031
679,21574.118286182045
683,40563.050345007905
696,27408.32074362422
700,33258.347127186316
703,42617.3625804282
704,40240.15549264874
705,30485.184211515083
710,23850.952399629237
711,24128.81262024834
715,23162.758511021293
720,29629.624749332597
730,22497.229603237294
731,28150.94577893931
734,45141.78354006551
735,36144.38592815679
742,19162.354105919836
751,20171.670399702347
753,25471.259272741514
757,23597.974777763873
759,29819.26189577769
772,42949.70323218885
773,16979.93971671211
776,35602.96558532473
779,20969.057635666803
780,37456.84202047537
782,19155.75872330565
